Author,Comment
@Kirsten1313,♥️
@alex__825,"Stay strong girl"
@WhiteLivesMatterPL,"I love it! 🥰"
@sabinakim7823,"Me realizing that the last day of 2023 is 123123 proof 12/31/23"
@SuperParkerBros1,"Don’t let the haters be Ohio rizz to you. Stay strong and keep going ❤"
@sayoreee,"everyone makes mistakes! I&#39;ve had more than my share. But its okay, cuz im gonna repair it!"
@Xzylie,"Ngl this kinda fire 🔥"
@beans00001,"Love you Colleen!!!"
@Dogi09,"This is kind of catchy"
@limitedgigi,"girl keep strong and dont let them rizz your gyat! keep it up! 🥹🥹❤️‍🩹"
@danieltompkins777,"You have nothing to be sorry for. People on the Internet just love to destroy things that are not theirs. I love you Colleen and you&#39;re a beautiful person ❤"
@monicacristinapalomo7991,"This made me cry, I am a long time subscriber &amp; all I can say is….<br>I’M GLAD YOU ARE BACK!!!<br>❤<br>You are a strong amazing woman who some unintelligent person/people wanted to see crumble<br><br>I am so HAPPY you have come back for US your real subbies that ❤ U!!"
@user-ce4wn4hz7s,"I FUCKING TOOK HOURS TO READ EVERY FUCKING ASS COMMENT AND 99% OF THEM WERE HATE COMMENTS AND THAT JUST MADE ME CRY"
@TheRealSniperTf2,"I enjoyed the song and it is built to the brim with truths about our society. A lot of people, from my experience, likes to formulate a thought based on information they learned without grabbing the concept that all information received isn&#39;t 100% revealed. As time progresses, incremental information will be discovered if the individual is vigilant and ready to absorb the information they are oblivious of noticing from their previous experience. Most people, like myself, prefer not to wait and would rather be noticed now versus being noticed some time in the future. People who put contemplative thought with the content they create (e.g. books, movies, etc.) release their media weeks, months, and maybe a year before they release their content for public viewing; yet people without the experience of being patient and will reply based on their current life situation and hopefully learn from their actions if it is a mistake. Their are two common phrases I&#39;m feeling is relatable with my perception trying to gain fame and/or notoriety (clout): &quot;players going to play&quot; and &quot;any publicity is good publicity&quot;."
@xcloudyxabc,"I mean she has a point."
@Froggyboba2228,"Yassssssssss ❤"
@M3msjk,Hi
